Designator,Mid X,Mid Y,Rotation,Layer
D1,26.1125,-19.195,0.0,top
D2,42.545,-19.195,0.0,top
D3,60.96,-19.195,0.0,top
D4,71.76,-19.195,0.0,top
J1,51.4975,-19.195,90.0,top
J2,92.456,-29.2,0.0,top
J3,15.748,-30.221,180.0,top
R1,21.971,-33.02,180.0,top
R10,75.311,-33.02,0.0,top
R11,52.705,-33.02,180.0,top
R12,68.199,-33.02,180.0,top
R2,28.6475,-26.815,0.0,top
R3,29.083,-33.02,0.0,top
R4,43.8875,-26.815,0.0,top
R5,44.45,-33.02,0.0,top
R6,37.338,-33.02,180.0,top
R7,59.1275,-26.815,0.0,top
R8,74.3675,-26.815,0.0,top
R9,59.817,-33.02,0.0,top
U1,21.0275,-26.18,270.0,bottom
U2,84.973,-25.4,180.0,top
U4,36.2675,-26.18,270.0,bottom
U5,51.5075,-26.18,270.0,bottom
U6,66.7475,-26.18,270.0,bottom
